gene_id	pvalue	padj	log2FoldChange	baseMean	rank	rank_frac	neglog10_pvalue	distance_to_line	selected_by_bend
ENSMUSG00000058812	0.0033141451372331	0.0120435821086586	-1.54662130187835	6.23438687510897	5907	0.2751455858374097	2.4796284763272918	0.7165850656229648	False
ENSMUSG00000004110	0.003314895218872	0.0120442689181291	-0.466341288306411	434.047677290936	5908	0.27519217330538087	2.479530194735797	0.7165388060173159	False
ENSMUSG00000121729	0.003318126198037	0.0120539680093186	-1.22956857651767	12.0619716619447	5909	0.27523876077335196	2.4791071005091125	0.7164936291145022	False
ENSMUSG00000027775	0.003322600310909	0.01206817906497	-0.0724352687158194	3228.15666046738	5910	0.27528534824132306	2.478521898627027	0.716448992567571	False
ENSMUSG00000031446	0.0033266810291653	0.0120809566861889	0.0841840479610683	4294.45580471982	5911	0.2753319357092942	2.477988838420136	0.7164041822160108	False
ENSMUSG00000123116	0.0033279393166105	0.0120821478519407	0.711801178341869	33.5418632834179	5912	0.2753785231772653	2.477824601462288	0.7163581424603751	False
ENSMUSG00000019732	0.0033281347362585	0.0120821478519407	-0.255345377973277	229.68209498551	5913	0.27542511064523645	2.4777991000408397	0.7163116402554922	False
ENSMUSG00000097616	0.0033317837787048	0.0120933497791136	-0.36517267280362	110.81666982343	5914	0.27547169811320754	2.477323190567268	0.7162666394025342	False
ENSMUSG00000031534	0.003337464836019	0.0121117014104664	-0.158204015322842	1105.54815219576	5915	0.2755182855811787	2.476583301388675	0.7162225184770917	False
ENSMUSG00000047045	0.0033379682075989	0.0121117014104664	0.122773832535954	4341.24598070283	5916	0.2755648730491498	2.476517804064836	0.7161761495911511	False
ENSMUSG00000040852	0.0033386953911464	0.0121122925919131	-0.340521366519959	213.499798796491	5917	0.2756114605171209	2.476423202382847	0.7161298777192044	False
ENSMUSG00000028684	0.0033394131426648	0.0121128493613457	-0.100154074000371	2970.82208022591	5918	0.275658047985092	2.4763298479476976	0.7160836016897912	False
ENSMUSG00000022148	0.0033450452366711	0.0121303362281585	0.62995438390242	229.463807298748	5919	0.2757046354530631	2.475598004681271	0.7160394539447889	False
ENSMUSG00000138755	0.0033453643189554	0.0121303362281585	-0.5492152253456	97.6424499931167	5920	0.27575122292103427	2.475556579511617	0.715993004818775	False
ENSMUSG00000019920	0.0033518671850636	0.0121518630289776	-0.0976591708415005	5802.61932025539	5921	0.27579781038900536	2.4747131982567834	0.7159492288650247	False
ENSMUSG00000043664	0.003357552796051	0.0121704201823763	-0.552701399552538	76.0977762887801	5922	0.27584439785697645	2.473977149514544	0.7159050951381981	False
ENSMUSG00000036067	0.0033619254401645	0.0121842126453779	0.145781901159293	2486.24057911974	5923	0.2758909853249476	2.4734119224504427	0.7158603920089059	False
ENSMUSG00000002365	0.0033829574959296	0.0122583669155344	-0.142793188480064	2307.55282280236	5924	0.2759375727929187	2.4707034587296652	0.7158228329625511	False
ENSMUSG00000003923	0.0033839144499913	0.0122597649929984	-0.113457251574341	1250.70130924071	5925	0.27598416026088984	2.4705806250556948	0.7157766551967274	False
ENSMUSG00000037278	0.0033862267315943	0.0122660720587926	-0.182162240111648	601.560401371316	5926	0.27603074772886094	2.4702839661964773	0.7157310568450044	False
ENSMUSG00000032398	0.0033906195999462	0.0122799123219918	-0.136683347558311	1585.61667149708	5927	0.27607733519683203	2.4697209318117994	0.7156863464068212	False
