contrast_id	gene_set_used	source	native	name	p_value	term_size	query_size	intersection_size	effective_domain_size	parents
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0035967	cellular response to topologically incorrect protein	0.011772111703728749	100	736	13	25907	['GO:0033554', 'GO:0035966']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0071216	cellular response to biotic stimulus	0.01192622848596512	339	736	26	25907	['GO:0009607', 'GO:0051716']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0048729	tissue morphogenesis	0.01198017818103524	653	736	40	25907	['GO:0009653', 'GO:0009888']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	KEGG	KEGG:05132	Salmonella infection	0.012198292441257625	251	362	23	9330	['KEGG:00000']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0009914	hormone transport	0.012725527721346967	404	736	29	25907	['GO:0006810', 'GO:0010817']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0030968	endoplasmic reticulum unfolded protein response	0.012820675917608949	72	736	11	25907	['GO:0034620', 'GO:0034976', 'GO:0035556']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0043632	modification-dependent macromolecule catabolic process	0.013003422759815692	608	736	38	25907	['GO:0009057']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:2001243	negative regulation of intrinsic apoptotic signaling pathway	0.01316458610614954	101	736	13	25907	['GO:0097193', 'GO:1902532', 'GO:2001234', 'GO:2001242']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0007267	cell-cell signaling	0.013776799633929086	1398	736	69	25907	['GO:0007154', 'GO:0023052']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0018209	peptidyl-serine modification	0.01390733974457257	150	736	16	25907	['GO:0018193']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0051047	positive regulation of secretion	0.013994028007298046	406	736	29	25907	['GO:0046903', 'GO:0051046', 'GO:0051050']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0014910	regulation of smooth muscle cell migration	0.01470053714750995	102	736	13	25907	['GO:0014909', 'GO:0030334']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0050767	regulation of neurogenesis	0.017549925184681178	455	736	31	25907	['GO:0022008', 'GO:0051960', 'GO:0060284']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0036010	protein localization to endosome	0.017836625886069324	27	736	7	25907	['GO:0033365']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0009306	protein secretion	0.01940097938850272	413	736	29	25907	['GO:0015031', 'GO:0032940', 'GO:0035592']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0045765	regulation of angiogenesis	0.019771823833424157	307	736	24	25907	['GO:0001525', 'GO:0022603', 'GO:1901342']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0044089	positive regulation of cellular component biogenesis	0.02071149263277206	527	736	34	25907	['GO:0044085', 'GO:0044087', 'GO:0048522']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0006979	response to oxidative stress	0.021264004694249338	415	736	29	25907	['GO:0006950']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0002764	immune response-regulating signaling pathway	0.02129706391435618	482	736	32	25907	['GO:0007165', 'GO:0050776']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0032386	regulation of intracellular transport	0.021427424858282283	288	736	23	25907	['GO:0046907', 'GO:0051049', 'GO:0060341']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0018105	peptidyl-serine phosphorylation	0.021431553591596732	138	736	15	25907	['GO:0006468', 'GO:0018209']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0035592	establishment of protein localization to extracellular region	0.022255555233770884	416	736	29	25907	['GO:0045184', 'GO:0071692']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0006413	translational initiation	0.022606662277481225	122	736	14	25907	['GO:0006412', 'GO:0008152']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0016197	endosomal transport	0.022926311797032178	269	736	22	25907	['GO:0016192', 'GO:0046907']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	KEGG	KEGG:05202	Transcriptional misregulation in cancer	0.023081043756401395	212	362	20	9330	['KEGG:00000']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0016055	Wnt signaling pathway	0.02312805851487785	439	736	30	25907	['GO:0007166']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0010256	endomembrane system organization	0.02315316821589423	553	736	35	25907	['GO:0016043']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0007049	cell cycle	0.023417489355163867	1640	736	77	25907	['GO:0009987']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	REAC	REAC:R-MMU-1280215	Cytokine Signaling in Immune system	0.02362369605359047	448	384	39	8469	['REAC:R-MMU-168256']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0007162	negative regulation of cell adhesion	0.023977861769372635	290	736	23	25907	['GO:0007155', 'GO:0030155', 'GO:0048523']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0002221	pattern recognition receptor signaling pathway	0.024156663905857394	250	736	21	25907	['GO:0002758']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0043408	regulation of MAPK cascade	0.02430585343264202	625	736	38	25907	['GO:0000165', 'GO:1902531']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0071559	response to transforming growth factor beta	0.024306881369265412	270	736	22	25907	['GO:0070848']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	KEGG	KEGG:05135	Yersinia infection	0.0246983792676544	135	362	15	9330	['KEGG:00000']
ipsi_vs_contra_in_cre	bend-point selected genes (log2FC > 0)	GO:BP	GO:0032612	interleukin-1 production	0.025003742592910428	107	736	13	25907	['GO:0001816']
