source_gene_symbol	source_log2fc_control	source_padj_control	source_log2fc_cko	source_padj_cko	source_rss_shift	source_symbol_norm	source_rss_sign	source_rss_abs_ge_0_3	matched_our_tested_universe	significant_wt_side	significant_cko_side	present_wt_bendpoint	present_cko_bendpoint	present_shared_bendpoint	present_wt_only_bendpoint	present_cko_only_bendpoint	direction_consistent_with_source_rss	appears_in_retained_go_terms	appears_in_anchor_gene_table	analysis_membership	selected_wt_source_constrained_bendpoint	selected_cko_source_constrained_bendpoint	selected_shared_source_constrained_bendpoint	selected_wt_only_source_constrained_bendpoint	selected_cko_only_source_constrained_bendpoint	source_constrained_membership
GM26457	4.99411648088	1.48284575821203e-05	6.86419040188812	4.16628285263082e-08	1.87007392100812	GM26457	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
SMLR1	3.62335381462402	0.00292390591272295	5.49162370016019	9.82592246077009e-07	1.86826988553617	SMLR1	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
RGS1	-1.54733317281784	0.0258883925513212	0.193589989338892	0.864321033392295	1.740923162156732	RGS1	positive	True	True	False	False	False	False	False	False	False	True	False	False	tested, not significant	False	False	False	False	False	tested source RSS, not source-constrained selected
4732490B19RIK	1.21507166562325	0.0323958699130776	2.95027130236531	1.3663193667465e-06	1.73519963674206	4732490B19RIK	positive	True	True	True	True	False	False	False	False	False	True	False	False	DE-significant outside bend-point	False	False	False	False	False	tested source RSS, not source-constrained selected
GM56977	-0.146088196328855	0.884925600791939	1.58414037406415	0.0114074587537929	1.730228570393005	GM56977	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
GM5546	-1.26124289199739	0.0326006954129258	0.419906291008566	0.577132192437275	1.681149183005956	GM5546	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
GM37131	-1.8134073084177	0.0113660328833905	-0.160133238028929	0.874918424358888	1.653274070388771	GM37131	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
GM4847	1.28117234696454	0.179765685401872	2.92611279249597	0.00186400330731753	1.64494044553143	GM4847	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
FGF21	0.756417834469829	0.467807871142611	2.36614177756658	0.00559603149200277	1.6097239430967507	FGF21	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
GM5444	0.039547813857267	0.980139335029314	1.62171987459412	0.0468654709110684	1.582172060736853	GM5444	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
1700061I17RIK	-1.70456587570283	0.0248886547483884	-0.134668070450813	0.907112109555679	1.569897805252017	1700061I17RIK	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
D930020B18RIK	-1.43917531362713	0.013896186679249	0.111929834988139	0.893878195445961	1.551105148615269	D930020B18RIK	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
4930516K23RIK	0.403940394687014	0.592733285272919	1.94434985387432	0.00111354091658009	1.540409459187306	4930516K23RIK	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
GM12534	1.62877020071821	0.0565167240471048	3.13507646364032	0.000256497144512446	1.50630626292211	GM12534	positive	True	True	False	True	False	False	False	False	False	True	False	False	DE-significant outside bend-point	False	False	False	False	False	tested source RSS, not source-constrained selected
4930414F18RIK	1.18145308003006	0.166270135486043	2.68465313558264	0.00188454664015752	1.5032000555525802	4930414F18RIK	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
SERPINB2	0.461594779399385	0.734116755230369	1.93979707036975	0.0494192946942556	1.4782022909703652	SERPINB2	positive	True	True	False	True	False	False	False	False	False	True	False	False	DE-significant outside bend-point	False	False	False	False	False	tested source RSS, not source-constrained selected
OTOG	-1.01693667340457	0.0156006556663535	0.44800944438523	0.368029642757192	1.4649461177898	OTOG	positive	True	True	True	False	False	False	False	False	False	True	False	False	DE-significant outside bend-point	False	False	False	False	False	tested source RSS, not source-constrained selected
GM8864	-0.426481666877534	0.482820826302783	1.02157436052476	0.0399182197746562	1.448056027402294	GM8864	positive	True	True	False	False	False	False	False	False	False	False	False	False	tested, not significant	False	False	False	False	False	tested source RSS, not source-constrained selected
EIF4E1B	-0.0805912615160429	0.927556848457137	1.36526039578379	0.0216695954143449	1.445851657299833	EIF4E1B	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
GM39119	4.95718804224735	4.16556534202092e-15	6.40033419517818	2.35596963899925e-10	1.4431461529308303	GM39119	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
GM7229	0.954371929275844	0.381722116871534	2.3640340257539	0.0191050248862858	1.4096620964780562	GM7229	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
GM35037	1.57113207069953	0.00881295054365834	2.97975951287339	1.09204700109001e-05	1.40862744217386	GM35037	positive	True	True	True	True	False	False	False	False	False	True	False	False	DE-significant outside bend-point	False	False	False	False	False	tested source RSS, not source-constrained selected
OR9A7	0.512415793968831	0.5236281332944	1.90883345549108	0.00880502597377373	1.396417661522249	OR9A7	positive	True	False	False	False	False	False	False	False	False	False	False	False	not in our tested universe	False	False	False	False	False	not in our tested universe
VMN2R5	3.50907952310043	1.73673132090133e-10	4.90172906375249	3.75287253684383e-11	1.39264954065206	VMN2R5	positive	True	True	True	True	False	False	False	False	False	True	False	False	DE-significant outside bend-point	False	False	False	False	False	tested source RSS, not source-constrained selected
