branch	go_direction	native	name	source_constrained_gene_count	example_source_constrained_genes	term_selected_gene_count
cKO/CRE	up	GO:0034330	cell junction organization	2	ENSMUSG00000030223, Plppr4	52
WT/FF	up	GO:0000902	cell morphogenesis	2	Il6, Plppr4	51
WT/FF	up	GO:0019220	regulation of phosphate metabolic process	2	Il6, Ucn	51
WT/FF	up	GO:0031399	regulation of protein modification process	2	Il6, Ucn	51
WT/FF	up	GO:0051174	regulation of phosphorus metabolic process	2	Il6, Ucn	51
cKO/CRE	up	GO:1902532	negative regulation of intracellular signal transduction	2	Dusp9, Plaur	51
cKO/CRE	up	GO:0043068	positive regulation of programmed cell death	2	Ankrd1, Grp	50
WT/FF	up	GO:0045087	innate immune response	2	Bpifc, Slamf1	49
WT/FF	up	GO:0071345	cellular response to cytokine stimulus	2	Ankrd1, Il6	49
cKO/CRE	up	GO:0001568	blood vessel development	2	Adm2, Serpine1	49
cKO/CRE	up	GO:0043065	positive regulation of apoptotic process	2	Ankrd1, Grp	49
WT/FF	up	GO:0051247	positive regulation of protein metabolic process	2	Il6, Ucn	48
WT/FF	up	GO:0040007	growth	2	Cited2, Ucn	47
WT/FF	up	GO:0042325	regulation of phosphorylation	2	Il6, Ucn	47
WT/FF	up	GO:0097190	apoptotic signaling pathway	2	Plaur, Serpine1	47
WT/FF	up	GO:1902532	negative regulation of intracellular signal transduction	2	Dusp9, Plaur	47
WT/FF	up	GO:0001932	regulation of protein phosphorylation	2	Il6, Ucn	46
WT/FF	up	GO:0050776	regulation of immune response	2	Il6, Slamf1	46
cKO/CRE	up	GO:0050778	positive regulation of immune response	2	Il6, Slamf1	46
cKO/CRE	up	GO:0051248	negative regulation of protein metabolic process	2	ENSMUSG00000030223, Serpine1	46
cKO/CRE	up	GO:0040017	positive regulation of locomotion	2	Serpine1, Slamf1	45
cKO/CRE	up	GO:0030335	positive regulation of cell migration	2	Serpine1, Slamf1	44
cKO/CRE	up	GO:2000147	positive regulation of cell motility	2	Serpine1, Slamf1	44
WT/FF	up	GO:0007169	cell surface receptor protein tyrosine kinase signaling pathway	2	Fgf3, Plaur	43
cKO/CRE	up	GO:0010975	regulation of neuron projection development	2	Ankrd1, Il6	43
cKO/CRE	up	GO:0018193	peptidyl-amino acid modification	2	Il6, Ucn	43
WT/FF	up	GO:0031344	regulation of cell projection organization	2	Ankrd1, Il6	42
WT/FF	up	GO:0043068	positive regulation of programmed cell death	2	Ankrd1, Grp	42
cKO/CRE	up	GO:0048514	blood vessel morphogenesis	2	Adm2, Serpine1	42
cKO/CRE	up	GO:0050808	synapse organization	2	ENSMUSG00000030223, Plppr4	42
cKO/CRE	up	GO:0065009	regulation of molecular function	2	ENSMUSG00000030223, Grp	42
WT/FF	up	GO:0043065	positive regulation of apoptotic process	2	Ankrd1, Grp	41
WT/FF	up	GO:0120035	regulation of plasma membrane bounded cell projection organization	2	Ankrd1, Il6	41
cKO/CRE	up	GO:0031667	response to nutrient levels	2	Ucn, Vgf	41
cKO/CRE	up	GO:0070201	regulation of establishment of protein localization	2	Ankrd1, Il6	41
WT/FF	up	GO:0008285	negative regulation of cell population proliferation	2	Cited2, Il6	40
cKO/CRE	up	GO:0001525	angiogenesis	2	Adm2, Serpine1	40
cKO/CRE	up	GO:0031346	positive regulation of cell projection organization	2	Ankrd1, Il6	40
cKO/CRE	up	GO:0032103	positive regulation of response to external stimulus	2	Serpine1, Slamf1	40
cKO/CRE	up	GO:1903829	positive regulation of protein localization	2	Ankrd1, Il6	40
cKO/CRE	up	GO:0031401	positive regulation of protein modification process	2	Il6, Ucn	38
cKO/CRE	up	GO:0010562	positive regulation of phosphorus metabolic process	2	Il6, Ucn	37
cKO/CRE	up	GO:0045937	positive regulation of phosphate metabolic process	2	Il6, Ucn	37
WT/FF	up	GO:0040008	regulation of growth	2	Cited2, Ucn	36
WT/FF	up	GO:0040017	positive regulation of locomotion	2	Serpine1, Slamf1	36
WT/FF	up	GO:0050778	positive regulation of immune response	2	Il6, Slamf1	36
WT/FF	up	GO:1903829	positive regulation of protein localization	2	Ankrd1, Il6	36
cKO/CRE	up	GO:0051223	regulation of protein transport	2	Ankrd1, Il6	36
cKO/CRE	up	GO:0061564	axon development	2	ENSMUSG00000030223, Plppr4	36
WT/FF	up	GO:0030335	positive regulation of cell migration	2	Serpine1, Slamf1	35
WT/FF	up	GO:0032103	positive regulation of response to external stimulus	2	Serpine1, Slamf1	35
WT/FF	up	GO:2000147	positive regulation of cell motility	2	Serpine1, Slamf1	35
cKO/CRE	up	GO:2001233	regulation of apoptotic signaling pathway	2	Plaur, Serpine1	35
WT/FF	up	GO:0070201	regulation of establishment of protein localization	2	Ankrd1, Il6	34
WT/FF	up	GO:0001525	angiogenesis	2	Adm2, Serpine1	33
WT/FF	up	GO:0018193	peptidyl-amino acid modification	2	Il6, Ucn	33
cKO/CRE	up	GO:0001934	positive regulation of protein phosphorylation	2	Il6, Ucn	33
cKO/CRE	up	GO:0042327	positive regulation of phosphorylation	2	Il6, Ucn	33
WT/FF	up	GO:0031401	positive regulation of protein modification process	2	Il6, Ucn	32
WT/FF	up	GO:0031667	response to nutrient levels	2	Ucn, Vgf	32
cKO/CRE	up	GO:0050803	regulation of synapse structure or activity	2	ENSMUSG00000030223, Plppr4	32
cKO/CRE	up	GO:0050807	regulation of synapse organization	2	ENSMUSG00000030223, Plppr4	32
WT/FF	up	GO:0010975	regulation of neuron projection development	2	Ankrd1, Il6	31
WT/FF	up	GO:0010562	positive regulation of phosphorus metabolic process	2	Il6, Ucn	30
WT/FF	up	GO:0045937	positive regulation of phosphate metabolic process	2	Il6, Ucn	30
WT/FF	up	GO:0051223	regulation of protein transport	2	Ankrd1, Il6	30
cKO/CRE	up	GO:0006887	exocytosis	2	Gpr151, Grp	30
WT/FF	up	GO:0001503	ossification	2	Grp, Satb2	29
cKO/CRE	up	GO:0032102	negative regulation of response to external stimulus	2	Plaur, Serpine1	29
cKO/CRE	up	GO:1904951	positive regulation of establishment of protein localization	2	Ankrd1, Il6	29
WT/FF	up	GO:0001934	positive regulation of protein phosphorylation	2	Il6, Ucn	28
WT/FF	up	GO:0042327	positive regulation of phosphorylation	2	Il6, Ucn	28
WT/FF	up	GO:2001233	regulation of apoptotic signaling pathway	2	Plaur, Serpine1	28
cKO/CRE	up	GO:0030162	regulation of proteolysis	2	Plaur, Serpine1	28
WT/FF	up	GO:0031346	positive regulation of cell projection organization	2	Ankrd1, Il6	27
cKO/CRE	up	GO:2001234	negative regulation of apoptotic signaling pathway	2	Plaur, Serpine1	27
cKO/CRE	up	GO:0048511	rhythmic process	2	Cckbr, Il6	26
WT/FF	up	GO:0048511	rhythmic process	2	Cckbr, Il6	24
cKO/CRE	up	GO:0010976	positive regulation of neuron projection development	2	Ankrd1, Il6	24
cKO/CRE	up	GO:0045765	regulation of angiogenesis	2	Adm2, Serpine1	24
cKO/CRE	up	GO:0051222	positive regulation of protein transport	2	Ankrd1, Il6	24
cKO/CRE	up	GO:1901342	regulation of vasculature development	2	Adm2, Serpine1	24
WT/FF	up	GO:0040013	negative regulation of locomotion	2	Cited2, Serpine1	23
WT/FF	up	GO:0050890	cognition	2	Rin1, Ucn	23
WT/FF	up	GO:0051402	neuron apoptotic process	2	Il6, Ucn	23
WT/FF	up	GO:1904951	positive regulation of establishment of protein localization	2	Ankrd1, Il6	23
WT/FF	up	GO:2000146	negative regulation of cell motility	2	Cited2, Serpine1	23
WT/FF	up	GO:2001234	negative regulation of apoptotic signaling pathway	2	Plaur, Serpine1	23
WT/FF	up	GO:0030336	negative regulation of cell migration	2	Cited2, Serpine1	22
WT/FF	up	GO:0043523	regulation of neuron apoptotic process	2	Il6, Ucn	21
WT/FF	up	GO:0045765	regulation of angiogenesis	2	Adm2, Serpine1	21
WT/FF	up	GO:1901342	regulation of vasculature development	2	Adm2, Serpine1	21
cKO/CRE	up	GO:0018209	peptidyl-serine modification	2	Il6, Ucn	16
cKO/CRE	up	GO:0018105	peptidyl-serine phosphorylation	2	Il6, Ucn	15
WT/FF	up	GO:0070555	response to interleukin-1	2	Ankrd1, Il6	11
cKO/CRE	up	GO:0009056	catabolic process	1	ENSMUSG00000025279	131
cKO/CRE	up	GO:0009057	macromolecule catabolic process	1	ENSMUSG00000025279	90
cKO/CRE	up	GO:0046907	intracellular transport	1	Il6	87
cKO/CRE	up	GO:0044281	small molecule metabolic process	1	Il6	85
cKO/CRE	up	GO:0045934	negative regulation of nucleobase-containing compound metabolic process	1	Ankrd1	81
cKO/CRE	up	GO:0007010	cytoskeleton organization	1	Krt6a	80
cKO/CRE	up	GO:0007049	cell cycle	1	Serpine1	77
cKO/CRE	up	GO:1901698	response to nitrogen compound	1	Vgf	76
cKO/CRE	up	GO:0051253	negative regulation of RNA metabolic process	1	Ankrd1	74
cKO/CRE	up	GO:1902679	negative regulation of RNA biosynthetic process	1	Ankrd1	69
WT/FF	up	GO:0007010	cytoskeleton organization	1	Krt6a	68
cKO/CRE	up	GO:0033365	protein localization to organelle	1	Il6	68
cKO/CRE	up	GO:0045892	negative regulation of DNA-templated transcription	1	Ankrd1	68
WT/FF	up	GO:0046907	intracellular transport	1	Il6	62
WT/FF	up	GO:1901698	response to nitrogen compound	1	Vgf	62
cKO/CRE	up	GO:0040007	growth	1	Ucn	56
cKO/CRE	up	GO:0000122	negative regulation of transcription by RNA polymerase II	1	Ankrd1	53
cKO/CRE	up	GO:0060284	regulation of cell development	1	Il6	52
WT/FF	up	GO:0060284	regulation of cell development	1	Il6	50
cKO/CRE	up	GO:0061024	membrane organization	1	Slamf1	50
cKO/CRE	up	GO:0006886	intracellular protein transport	1	Il6	49
WT/FF	up	GO:0033365	protein localization to organelle	1	Il6	47
cKO/CRE	up	GO:0040008	regulation of growth	1	Ucn	43
cKO/CRE	up	GO:0008285	negative regulation of cell population proliferation	1	Il6	42
WT/FF	up	GO:0048589	developmental growth	1	Cited2	40
WT/FF	up	GO:0065009	regulation of molecular function	1	Grp	39
WT/FF	up	GO:0051248	negative regulation of protein metabolic process	1	Serpine1	37
cKO/CRE	up	GO:0090066	regulation of anatomical structure size	1	Ucn	37
cKO/CRE	up	GO:0051960	regulation of nervous system development	1	Il6	35
WT/FF	up	GO:0006886	intracellular protein transport	1	Il6	34
cKO/CRE	up	GO:0072594	establishment of protein localization to organelle	1	Il6	34
WT/FF	up	GO:0051960	regulation of nervous system development	1	Il6	33
WT/FF	up	GO:0090066	regulation of anatomical structure size	1	Ucn	33
cKO/CRE	up	GO:0015711	organic anion transport	1	Slc10a6	33
cKO/CRE	up	GO:0043434	response to peptide hormone	1	Vgf	32
cKO/CRE	up	GO:0097193	intrinsic apoptotic signaling pathway	1	Plaur	32
cKO/CRE	up	GO:0001503	ossification	1	Grp	31
cKO/CRE	up	GO:0050767	regulation of neurogenesis	1	Il6	31
WT/FF	up	GO:0010720	positive regulation of cell development	1	Il6	30
WT/FF	up	GO:0050767	regulation of neurogenesis	1	Il6	30
cKO/CRE	up	GO:0006913	nucleocytoplasmic transport	1	Il6	29
cKO/CRE	up	GO:0006979	response to oxidative stress	1	Ucn	29
cKO/CRE	up	GO:0051169	nuclear transport	1	Il6	29
cKO/CRE	up	GO:0099173	postsynapse organization	1	Plppr4	29
WT/FF	up	GO:0006979	response to oxidative stress	1	Ucn	28
WT/FF	up	GO:0043434	response to peptide hormone	1	Vgf	28
WT/FF	up	GO:0048638	regulation of developmental growth	1	Cited2	28
WT/FF	up	GO:0097193	intrinsic apoptotic signaling pathway	1	Plaur	28
cKO/CRE	up	GO:0031589	cell-substrate adhesion	1	Serpine1	28
cKO/CRE	up	GO:0034504	protein localization to nucleus	1	Il6	28
cKO/CRE	up	GO:0040013	negative regulation of locomotion	1	Serpine1	28
cKO/CRE	up	GO:2000146	negative regulation of cell motility	1	Serpine1	28
WT/FF	up	GO:0002683	negative regulation of immune system process	1	Slamf1	27
WT/FF	up	GO:0019221	cytokine-mediated signaling pathway	1	Il6	27
cKO/CRE	up	GO:0006417	regulation of translation	1	Ucn	27
cKO/CRE	up	GO:0030336	negative regulation of cell migration	1	Serpine1	27
WT/FF	up	GO:0015711	organic anion transport	1	Slc10a6	26
cKO/CRE	up	GO:0010563	negative regulation of phosphorus metabolic process	1	ENSMUSG00000030223	26
cKO/CRE	up	GO:0031400	negative regulation of protein modification process	1	ENSMUSG00000030223	26
cKO/CRE	up	GO:0045936	negative regulation of phosphate metabolic process	1	ENSMUSG00000030223	26
WT/FF	up	GO:0034762	regulation of transmembrane transport	1	Grp	25
cKO/CRE	down	GO:0010646	regulation of cell communication	1	ENSMUSG00000009633	25
cKO/CRE	down	GO:0023051	regulation of signaling	1	ENSMUSG00000009633	25
cKO/CRE	up	GO:0022604	regulation of cell morphogenesis	1	Il6	24
WT/FF	down	GO:0007399	nervous system development	1	Rnf112	23
WT/FF	up	GO:0015849	organic acid transport	1	Slc10a6	23
WT/FF	up	GO:0046942	carboxylic acid transport	1	Slc10a6	23
cKO/CRE	up	GO:0007162	negative regulation of cell adhesion	1	Serpine1	23
cKO/CRE	up	GO:0032386	regulation of intracellular transport	1	Il6	23
WT/FF	up	GO:0006913	nucleocytoplasmic transport	1	Il6	22
WT/FF	up	GO:0050727	regulation of inflammatory response	1	Serpine1	22
WT/FF	up	GO:0051169	nuclear transport	1	Il6	22
cKO/CRE	down	GO:0009966	regulation of signal transduction	1	ENSMUSG00000009633	22
cKO/CRE	up	GO:0042326	negative regulation of phosphorylation	1	ENSMUSG00000030223	22
cKO/CRE	up	GO:0051896	regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	1	Il6	22
cKO/CRE	up	GO:0071559	response to transforming growth factor beta	1	Ankrd1	22
WT/FF	up	GO:0033002	muscle cell proliferation	1	Cited2	21
WT/FF	up	GO:0099173	postsynapse organization	1	Plppr4	21
cKO/CRE	up	GO:0001933	negative regulation of protein phosphorylation	1	ENSMUSG00000030223	21
cKO/CRE	up	GO:0099175	regulation of postsynapse organization	1	Plppr4	21
WT/FF	up	GO:0007162	negative regulation of cell adhesion	1	Serpine1	20
WT/FF	up	GO:0022604	regulation of cell morphogenesis	1	Il6	20
WT/FF	up	GO:0045927	positive regulation of growth	1	Ucn	20
WT/FF	up	GO:0050769	positive regulation of neurogenesis	1	Il6	20
WT/FF	up	GO:0001649	osteoblast differentiation	1	Satb2	19
cKO/CRE	up	GO:0006606	protein import into nucleus	1	Il6	19
cKO/CRE	up	GO:0051170	import into nucleus	1	Il6	19
WT/FF	up	GO:0007623	circadian rhythm	1	Il6	18
cKO/CRE	up	GO:0043549	regulation of kinase activity	1	ENSMUSG00000030223	18
WT/FF	up	GO:0014812	muscle cell migration	1	Serpine1	17
cKO/CRE	up	GO:0045859	regulation of protein kinase activity	1	ENSMUSG00000030223	17
cKO/CRE	up	GO:1900180	regulation of protein localization to nucleus	1	Il6	17
WT/FF	up	GO:0014909	smooth muscle cell migration	1	Serpine1	16
WT/FF	up	GO:0006606	protein import into nucleus	1	Il6	15
WT/FF	up	GO:0014074	response to purine-containing compound	1	Vgf	15
WT/FF	up	GO:0014910	regulation of smooth muscle cell migration	1	Serpine1	15
WT/FF	up	GO:0051170	import into nucleus	1	Il6	15
cKO/CRE	up	GO:0014812	muscle cell migration	1	Serpine1	15
WT/FF	up	GO:0046683	response to organophosphorus	1	Vgf	14
cKO/CRE	up	GO:0014909	smooth muscle cell migration	1	Serpine1	14
WT/FF	up	GO:0008360	regulation of cell shape	1	Il6	13
cKO/CRE	up	GO:0014910	regulation of smooth muscle cell migration	1	Serpine1	13
cKO/CRE	up	GO:2001243	negative regulation of intrinsic apoptotic signaling pathway	1	Plaur	13
WT/FF	up	GO:0051591	response to cAMP	1	Vgf	11
cKO/CRE	up	GO:2000300	regulation of synaptic vesicle exocytosis	1	Gpr151	9
WT/FF	up	GO:0014912	negative regulation of smooth muscle cell migration	1	Serpine1	8
cKO/CRE	up	GO:0014912	negative regulation of smooth muscle cell migration	1	Serpine1	8
WT/FF	up	GO:0032620	interleukin-17 production	1	Il6	7
WT/FF	up	GO:0032660	regulation of interleukin-17 production	1	Il6	7
WT/FF	up	GO:0070498	interleukin-1-mediated signaling pathway	1	Il6	7
cKO/CRE	up	GO:0070498	interleukin-1-mediated signaling pathway	1	Il6	7
WT/FF	up	GO:0032740	positive regulation of interleukin-17 production	1	Il6	6
WT/FF	up	GO:0045837	negative regulation of membrane potential	1	Il6	5
