branch	go_direction	native	name	source_constrained_gene_count	example_source_constrained_genes	term_selected_gene_count
WT/FF	up	GO:0044238	primary metabolic process	12	Ankrd1, Cited2, Clca1, Dusp9, Ecel1, Hmx3, Il6, Plaur	328
cKO/CRE	up	GO:0048519	negative regulation of biological process	12	Ankrd1, Dusp9, ENSMUSG00000030223, Fgf3, Grp, Il6, Plaur, Procr	300
WT/FF	up	GO:0048518	positive regulation of biological process	12	Adm2, Ankrd1, Cckbr, Cited2, Fgf3, Grp, Il6, Plaur	278
WT/FF	up	GO:0048522	positive regulation of cellular process	12	Adm2, Ankrd1, Cckbr, Cited2, Fgf3, Grp, Il6, Plaur	266
cKO/CRE	up	GO:0048583	regulation of response to stimulus	12	Ankrd1, Cckbr, Dusp9, ENSMUSG00000025279, ENSMUSG00000030223, Grp, Il6, Plaur	220
WT/FF	up	GO:0009605	response to external stimulus	12	Ankrd1, Bpifc, Cd207, Cited2, Grp, Il6, Krt6a, Plaur	114
cKO/CRE	up	GO:0006952	defense response	12	Bpifc, Cckbr, Cd207, ENSMUSG00000025279, ENSMUSG00000076434, Grp, Il6, Krt6a	112
cKO/CRE	up	GO:0044238	primary metabolic process	11	Ankrd1, Clca1, Dusp9, ENSMUSG00000025279, ENSMUSG00000030223, Ecel1, Il6, Plaur	430
cKO/CRE	up	GO:0071840	cellular component organization or biogenesis	11	Ankrd1, ENSMUSG00000025279, ENSMUSG00000030223, ENSMUSG00000067006, Il6, Krt6a, Plaur, Plppr4	314
cKO/CRE	up	GO:0016043	cellular component organization	11	Ankrd1, ENSMUSG00000025279, ENSMUSG00000030223, ENSMUSG00000067006, Il6, Krt6a, Plaur, Plppr4	305
WT/FF	up	GO:0019222	regulation of metabolic process	11	Adm2, Ankrd1, Cited2, Grp, Hmx3, Il6, Plaur, Satb2	237
WT/FF	up	GO:0048523	negative regulation of cellular process	11	Ankrd1, Cited2, Dusp9, Grp, Il6, Plaur, Satb2, Serpine1	235
WT/FF	up	GO:0060255	regulation of macromolecule metabolic process	11	Adm2, Ankrd1, Cited2, Grp, Hmx3, Il6, Plaur, Satb2	224
WT/FF	up	GO:0009889	regulation of biosynthetic process	11	Adm2, Ankrd1, Cited2, Grp, Hmx3, Il6, Plaur, Satb2	197
WT/FF	up	GO:0010556	regulation of macromolecule biosynthetic process	11	Adm2, Ankrd1, Cited2, Grp, Hmx3, Il6, Plaur, Satb2	194
WT/FF	up	GO:0010468	regulation of gene expression	11	Adm2, Ankrd1, Cited2, Grp, Hmx3, Il6, Plaur, Satb2	190
WT/FF	up	GO:0048583	regulation of response to stimulus	11	Ankrd1, Cckbr, Cited2, Dusp9, Grp, Il6, Plaur, Serpine1	183
cKO/CRE	up	GO:0051239	regulation of multicellular organismal process	11	Adm2, Cckbr, ENSMUSG00000030223, Fgf3, Grp, Il6, Plaur, Procr	176
WT/FF	up	GO:0051239	regulation of multicellular organismal process	11	Adm2, Cckbr, Cited2, Fgf3, Grp, Il6, Plaur, Procr	152
cKO/CRE	up	GO:0002376	immune system process	11	Bpifc, ENSMUSG00000025279, ENSMUSG00000030223, ENSMUSG00000076434, Grp, Il6, Krt6a, Sectm1b	144
cKO/CRE	up	GO:0048518	positive regulation of biological process	10	Adm2, Ankrd1, Cckbr, Fgf3, Grp, Il6, Plaur, Serpine1	340
cKO/CRE	up	GO:0048522	positive regulation of cellular process	10	Adm2, Ankrd1, Cckbr, Fgf3, Grp, Il6, Plaur, Serpine1	323
cKO/CRE	up	GO:0019222	regulation of metabolic process	10	Adm2, Ankrd1, ENSMUSG00000030223, ENSMUSG00000051209, Grp, Il6, Plaur, Serpine1	297
