source_gene_symbol	source_symbol_norm	gene_id	source_mapping_status	n_source_gene_ids	source_log2fc_control	source_log2fc_cko	source_rss_shift	source_rss_sign	our_log2fc_wt	our_log2fc_cko	our_delta_cko_minus_wt	our_delta_sign	matched_our_tested_universe	source_padj_control	source_padj_cko	our_padj_wt	our_padj_cko	significant_wt_side	significant_cko_side	present_wt_bendpoint	present_cko_bendpoint	present_shared_bendpoint	present_cko_only_bendpoint	present_wt_only_bendpoint	direction_consistent_with_source_rss	appears_in_retained_go_terms	appears_in_anchor_gene_table
4932435O22RIK	4932435O22RIK	ENSMUSG00000062391	unique_symbol	1	-0.688693863457474	-0.314087142228348	0.37460672122912597	positive	-0.265695137769188	0.184306612583008	0.45000175035219603	positive	True	0.00249731812207284	0.243220512009629	0.609751526076873	0.726597588334259	False	False	False	False	False	False	False	True	False	False
4933412O06RIK	4933412O06RIK	ENSMUSG00000113960	unique_symbol	1	0.582127505261437	-0.0148027796501195	-0.5969302849115564	negative	0.114889472590876	-0.136198103084348	-0.251087575675224	negative	True	0.0233848834147379	0.970936644116184	0.847804687497873	0.803792390437031	False	False	False	False	False	False	False	True	False	False
4933431K23RIK	4933431K23RIK	ENSMUSG00000086451	unique_symbol	1	-0.324193904200291	-0.642830945712237	-0.318637041511946	negative	-1.21886283899621	-1.1989392301586	0.01992360883761002	positive	True	0.0194877602263056	1.66543393171333e-07	0.026867638292629	0.0195682506127065	True	True	False	False	False	False	False	False	False	False
4933436I20RIK	4933436I20RIK	ENSMUSG00000100580	unique_symbol	1	3.26740622388378	2.48747937327035	-0.77992685061343	negative					False	5.99098823578387e-14	5.80393508365555e-12			False	False	False	False	False	False	False	False	False	False
4933440M02RIK	4933440M02RIK	ENSMUSG00000045928	unique_symbol	1	1.30301985841389	0.548406451378292	-0.7546134070355979	negative					False	0.00881512310609974	0.300447374567652			False	False	False	False	False	False	False	False	False	False
5033421B08RIK	5033421B08RIK	ENSMUSG00000112276	unique_symbol	1	-0.0646214724285587	0.240519755451545	0.30514122788010367	positive	-0.216717581029074	0.210568599621405	0.427286180650479	positive	True	0.709959862210571	0.0455761826590456	0.479755353257994	0.481805315524035	False	False	False	False	False	False	False	True	False	False
6330549D23RIK	6330549D23RIK	ENSMUSG00000045327	ambiguous_symbol	2	0.219260823372393	-0.201665027746345	-0.42092585111873804	negative					False	0.00459861857408882	0.784121144305905			False	False	False	False	False	False	False	False	False	False
6330549D23RIK	6330549D23RIK	ENSMUSG00000121819	ambiguous_symbol	2	0.219260823372393	-0.201665027746345	-0.42092585111873804	negative	-0.321407913161339	-0.421041836311292	-0.09963392314995301	negative	True	0.00459861857408882	0.784121144305905	0.377797965362256	0.194390247896143	False	False	False	False	False	False	False	True	False	False
6430710C18RIK	6430710C18RIK	ENSMUSG00000085427	unique_symbol	1	-0.576726334707097	-0.907973208083666	-0.331246873376569	negative	-0.145133802378652	-0.397553244175565	-0.252419441796913	negative	True	0.157949699976759	0.0150701329106124	0.836860173040463	0.529831440986852	False	False	False	False	False	False	False	True	False	False
9130209A04RIK	9130209A04RIK	ENSMUSG00000117602	unique_symbol	1	3.45831835327246	3.80954959822899	0.35123124495653	positive					False	2.79693507562264e-05	5.32993855771415e-05			False	False	False	False	False	False	False	False	False	False
9230109A22RIK	9230109A22RIK	ENSMUSG00000051237	unique_symbol	1	-0.0306270745001315	1.92866224249271	1.9592893169928416	positive					False	0.971773623909409	0.000105090770348996			False	False	False	False	False	False	False	False	False	False
9230112J17RIK	9230112J17RIK	ENSMUSG00000111761	unique_symbol	1	-0.263014386879825	-0.676208198442521	-0.413193811562696	negative	-0.228065882698527	-0.631718891783188	-0.40365300908466095	negative	True	0.139174384054927	6.97442936969418e-06	0.215486310203772	4.69468708782308e-05	False	True	False	False	False	False	False	True	False	False
9330154J02RIK	9330154J02RIK	ENSMUSG00000056031	unique_symbol	1	0.969261355060929	1.40743407623887	0.4381727211779409	positive	1.88283337032675	2.14653626460452	0.26370289427776994	positive	True	0.000229791050116964	3.99158651481601e-08	0.0451103711740154	0.0095963313067413	True	True	False	False	False	False	False	True	False	False
9330188P03RIK	9330188P03RIK	ENSMUSG00000115149	unique_symbol	1	-0.322101607611981	0.101019025365239	0.42312063297721997	positive	-0.324939218474957	0.161304614563653	0.48624383303860996	positive	True	0.0491225278747893	0.635171763784053	0.13724635149803	0.514076495982544	False	False	False	False	False	False	False	True	False	False
9530018F02RIK	9530018F02RIK	ENSMUSG00000112150	unique_symbol	1	-0.226607783346253	-0.600185655664382	-0.373577872318129	negative	-0.237491790105919	-0.604848314734141	-0.367356524628222	negative	True	0.448581922904914	0.0144105226906815	0.3363404385409	0.0050607644235023	False	True	False	False	False	False	False	True	False	False
9530036M11RIK	9530036M11RIK	ENSMUSG00000087670	unique_symbol	1	-0.335622121033615	-0.668935149703579	-0.33331302866996404	negative	-0.305008481250791	-0.611411691454155	-0.306403210203364	negative	True	0.193421177526452	0.00210828572633042	0.209394710427181	0.0033349769265907	False	True	False	False	False	False	False	True	False	False
9630013D21RIK	9630013D21RIK	ENSMUSG00000059027	unique_symbol	1	-0.486063664404671	-1.35745255964352	-0.8713888952388491	negative					False	0.334750945822972	0.00150227738704751			False	False	False	False	False	False	False	False	False	False
A430108G06RIK	A430108G06RIK	ENSMUSG00000086851	unique_symbol	1	-0.487198842166713	-0.0083047935667963	0.4788940485999167	positive	-0.649851471390944	-0.0999296703600149	0.5499218010309291	positive	True	0.0204542650099052	0.981638755619317	0.0231153295809781	0.799912225916178	True	False	False	False	False	False	False	True	False	False
A530088E08RIK	A530088E08RIK	ENSMUSG00000117872	unique_symbol	1	-0.356365733013499	-0.728068534747633	-0.371702801734134	negative					False	0.350916199865223	0.0306505058381977			False	False	False	False	False	False	False	False	False	False
A830011K09RIK	A830011K09RIK	ENSMUSG00000089957	unique_symbol	1	-0.57662882053899	-1.02673363247413	-0.45010481193514007	negative	-0.777985725075149	-0.656362752261598	0.12162297281355094	positive	True	0.212547919445932	0.0119347885984978	0.137975063028595	0.221877834348736	False	False	False	False	False	False	False	False	False	False
A930003A15RIK	A930003A15RIK	ENSMUSG00000075330	unique_symbol	1	1.29912682653282	0.789039117179588	-0.510087709353232	negative	1.19227193999291	0.706444805534288	-0.485827134458622	negative	True	0.00328657596843443	0.081690554745618	0.0500787898005217	0.220892667222504	False	False	False	False	False	False	False	True	False	False
A930016O22RIK	A930016O22RIK	ENSMUSG00000040705	unique_symbol	1	0.542281969458705	-3.43438718140633	-3.976669150865035	negative	-0.211505559906859	-1.63224735789663	-1.420741797989771	negative	True	0.829919857592597	0.0321864177597622	0.770264353602958	0.0009571560914058	False	True	False	False	False	False	False	True	False	False
ABCA12	ABCA12	ENSMUSG00000050296	unique_symbol	1	0.618765521649701	1.0129544526966	0.3941889310468989	positive	0.732060740554481	1.13652178213807	0.404461041583589	positive	True	0.00173511334741373	8.98008494415799e-08	0.0009931911534128	1.54137644405423e-07	True	True	False	False	False	False	False	True	False	False
ABCA4	ABCA4	ENSMUSG00000028125	unique_symbol	1	-0.073262470907853	-0.73335889939051	-0.660096428482657	negative	-0.0371802929728586	-0.769419489291995	-0.7322391963191364	negative	True	0.907476433624466	0.0484951100201346	0.972348288209945	0.29823546887912	False	False	False	False	False	False	False	True	False	False
ABCA5	ABCA5	ENSMUSG00000018800	unique_symbol	1	-0.237351813816332	0.0972517720945584	0.3346035859108904	positive	-0.234348354700889	0.116480116630919	0.350828471331808	positive	True	0.0262280077980279	0.456187244690815	0.040617473636119	0.364562837645531	True	False	False	False	False	False	False	True	False	False
ABCC9	ABCC9	ENSMUSG00000030249	unique_symbol	1	0.396127696657833	0.0901618626776057	-0.30596583398022725	negative	0.403643587310835	0.0847591743628843	-0.31888441294795067	negative	True	0.0156079967668996	0.692920337186759	0.0122987766130035	0.683129689463051	True	False	False	False	False	False	False	True	False	False
ABCD1	ABCD1	ENSMUSG00000031378	unique_symbol	1	0.215952198663714	-0.121644226665803	-0.337596425329517	negative	0.254363094990977	-0.112200635803399	-0.366563730794376	negative	True	0.0275161606818633	0.26781624180856	0.0071832317243573	0.294385188691221	True	False	False	False	False	False	False	True	False	False
ABCG8	ABCG8	ENSMUSG00000024254	unique_symbol	1	-0.834856085071796	-1.13575472197411	-0.300898636902314	negative	-1.01171941599733	-1.13261936633705	-0.12089995033972012	negative	True	0.0734373698062999	0.00781099919238144	0.0360017382480704	0.0110676782890465	True	True	False	False	False	False	False	True	False	False
ABHD11OS	ABHD11OS	ENSMUSG00000085042	unique_symbol	1	-0.204054531979339	-0.524920829263176	-0.320866297283837	negative					False	0.349028175550064	0.00135143697673998			False	False	False	False	False	False	False	False	False	False
ABHD16B	ABHD16B	ENSMUSG00000055882	unique_symbol	1	1.02328602403686	2.05881108949785	1.03552506546099	positive					False	0.182519385878517	0.00354043858829618			False	False	False	False	False	False	False	False	False	False
ABI3BP	ABI3BP	ENSMUSG00000035258	unique_symbol	1	0.100939296166453	-0.456321320912824	-0.557260617079277	negative	0.13932016136842	-0.487159025274078	-0.626479186642498	negative	True	0.757993392765534	0.0371688412316667	0.603076460431547	0.0182013905354571	False	True	False	False	False	False	False	True	False	False
ACKR2	ACKR2	ENSMUSG00000044534	unique_symbol	1	-0.007003912942954	-1.10822718044635	-1.101223267503396	negative	0.0981708171498375	-1.05344143219686	-1.1516122493466974	negative	True	0.99257305037388	0.0014977879432444	0.872202143668874	0.0067856852115572	False	True	False	False	False	False	False	True	False	False
ACOX2	ACOX2	ENSMUSG00000021751	unique_symbol	1	1.03594295024885	0.721725601131049	-0.31421734911780097	negative	1.0829786982599	1.39178749594983	0.3088087976899301	positive	True	0.00279684254455746	0.0422031729654986	0.0310142319135821	0.0027430374601257	True	True	False	False	False	False	False	False	False	False
ACSF2	ACSF2	ENSMUSG00000076435	unique_symbol	1	0.137867876422996	-0.788010373207907	-0.925878249630903	negative	0.112704729739461	-0.0651183270413504	-0.1778230567808114	negative	True	0.734164644315994	0.00233154874916629	0.264607037920751	0.541052058751283	False	False	False	False	False	False	False	True	False	False
ACSS3	ACSS3	ENSMUSG00000035948	unique_symbol	1	0.107859444078343	-0.412438501039551	-0.520297945117894	negative	0.0754433757877364	-0.302505207320654	-0.3779485831083904	negative	True	0.498292461708411	0.000302221750407411	0.645418703910812	0.0144383158936867	False	True	False	False	False	False	False	True	False	False
ACTN3	ACTN3	ENSMUSG00000006457	unique_symbol	1	0.612782804455153	-2.97440479876575	-3.5871876032209027	negative	0.64726497824766	-3.05422625743825	-3.70149123568591	negative	True	0.779267148767604	0.0386209321686968	0.735159320167751	0.0301625692548147	False	True	False	False	False	False	False	True	False	False
ADAMTS1	ADAMTS1	ENSMUSG00000022893	unique_symbol	1	1.06889668202867	0.682523445725151	-0.38637323630351905	negative	1.09413369348154	0.696646796459752	-0.39748689702178797	negative	True	5.01583502175375e-09	0.000385560157113536	1.07403490483093e-10	7.40921887452595e-05	True	True	False	False	False	False	False	True	False	False
