branch	go_direction	native	name	rss_gene_count	example_rss_genes
WT/FF	up	GO:0009653	anatomical structure morphogenesis	10	Adm2, Ankrd1, Cited2, Hmx3, Il6, Krt6a, Plppr4, Satb2
WT/FF	up	GO:0016043	cellular component organization	10	Ankrd1, Ccn4, Il6, Krt6a, Plaur, Plppr4, Satb2, Serpine1
WT/FF	up	GO:0042221	response to chemical	10	Ankrd1, Cited2, Clca1, Grp, Il6, Or8b53, Serpine1, Slamf1
WT/FF	up	GO:0048584	positive regulation of response to stimulus	10	Ankrd1, Cckbr, Ccn4, Cited2, Grp, Il6, Plaur, Serpine1
WT/FF	up	GO:0071840	cellular component organization or biogenesis	10	Ankrd1, Ccn4, Il6, Krt6a, Plaur, Plppr4, Satb2, Serpine1
cKO/CRE	up	GO:0009607	response to biotic stimulus	10	Ankrd1, Bpifc, Cd207, ENSMUSG00000076434, Grp, Il6, Krt6a, Serpine1
cKO/CRE	up	GO:0009888	tissue development	10	2210017I01Rik, Ankrd1, ENSMUSG00000030223, ENSMUSG00000067006, Fgf3, Il6, Krt6a, Lce1g
cKO/CRE	up	GO:0009966	regulation of signal transduction	10	Ankrd1, Dusp9, ENSMUSG00000030223, Grp, Il6, Plaur, Serpine1, Slamf1
cKO/CRE	up	GO:0019222	regulation of metabolic process	10	Adm2, Ankrd1, ENSMUSG00000030223, ENSMUSG00000051209, Grp, Il6, Plaur, Serpine1
cKO/CRE	up	GO:0043207	response to external biotic stimulus	10	Ankrd1, Bpifc, Cd207, ENSMUSG00000076434, Grp, Il6, Krt6a, Serpine1
cKO/CRE	up	GO:0048518	positive regulation of biological process	10	Adm2, Ankrd1, Cckbr, Fgf3, Grp, Il6, Plaur, Serpine1
cKO/CRE	up	GO:0048522	positive regulation of cellular process	10	Adm2, Ankrd1, Cckbr, Fgf3, Grp, Il6, Plaur, Serpine1
cKO/CRE	up	GO:0048523	negative regulation of cellular process	10	Ankrd1, Dusp9, ENSMUSG00000030223, Grp, Il6, Plaur, Serpine1, Slamf1
WT/FF	up	GO:0002376	immune system process	9	Bpifc, Cited2, Grp, Il6, Krt6a, Sectm1b, Serpine1, Slamf1
WT/FF	up	GO:0007166	cell surface receptor signaling pathway	9	Ccn4, Cited2, Fgf3, Il6, Krt6a, Plaur, Serpine1, Slamf1
WT/FF	up	GO:0009607	response to biotic stimulus	9	Ankrd1, Bpifc, Cd207, Grp, Il6, Krt6a, Serpine1, Slamf1
WT/FF	up	GO:0010647	positive regulation of cell communication	9	Ankrd1, Cckbr, Ccn4, Cited2, Grp, Il6, Plaur, Slamf1
WT/FF	up	GO:0023056	positive regulation of signaling	9	Ankrd1, Cckbr, Ccn4, Cited2, Grp, Il6, Plaur, Slamf1
WT/FF	up	GO:0032879	regulation of localization	9	Ankrd1, Cckbr, Gpr151, Grp, Il6, Nkain1, Serpine1, Slamf1
WT/FF	up	GO:0035556	intracellular signal transduction	9	Ankrd1, Cckbr, Cited2, Dusp9, Ecel1, Il6, Plaur, Slamf1
WT/FF	up	GO:0043207	response to external biotic stimulus	9	Ankrd1, Bpifc, Cd207, Grp, Il6, Krt6a, Serpine1, Slamf1
WT/FF	up	GO:0051049	regulation of transport	9	Ankrd1, Cckbr, Gpr151, Grp, Il6, Nkain1, Serpine1, Slamf1
WT/FF	up	GO:0051240	positive regulation of multicellular organismal process	9	Adm2, Cckbr, Ccn4, Cited2, Grp, Il6, Serpine1, Slamf1
WT/FF	up	GO:0051241	negative regulation of multicellular organismal process	9	Ccn4, Cited2, Fgf3, Il6, Plaur, Procr, Serpine1, Slamf1
cKO/CRE	up	GO:0007267	cell-cell signaling	9	Cckbr, ENSMUSG00000051209, Gpr151, Grp, Il6, Plppr4, Rin1, Ucn
cKO/CRE	up	GO:0032879	regulation of localization	9	Ankrd1, Cckbr, Gpr151, Grp, Il6, Nkain1, Serpine1, Slamf1
cKO/CRE	up	GO:0044419	biological process involved in interspecies interaction between organisms	9	Ankrd1, Bpifc, Cd207, ENSMUSG00000076434, Il6, Krt6a, Serpine1, Slamf1
cKO/CRE	up	GO:0051049	regulation of transport	9	Ankrd1, Cckbr, Gpr151, Grp, Il6, Nkain1, Serpine1, Slamf1
cKO/CRE	up	GO:0051707	response to other organism	9	Ankrd1, Bpifc, Cd207, ENSMUSG00000076434, Il6, Krt6a, Serpine1, Slamf1
cKO/CRE	up	GO:0060255	regulation of macromolecule metabolic process	9	Adm2, Ankrd1, ENSMUSG00000030223, Grp, Il6, Plaur, Serpine1, Slamf1
WT/FF	up	GO:0007267	cell-cell signaling	8	Cckbr, Gpr151, Grp, Il6, Plppr4, Rin1, Ucn, Vgf
WT/FF	up	GO:0009891	positive regulation of biosynthetic process	8	Adm2, Ankrd1, Cited2, Il6, Satb2, Serpine1, Slamf1, Ucn
WT/FF	up	GO:0009893	positive regulation of metabolic process	8	Adm2, Ankrd1, Cited2, Il6, Satb2, Serpine1, Slamf1, Ucn
WT/FF	up	GO:0009967	positive regulation of signal transduction	8	Ankrd1, Ccn4, Cited2, Grp, Il6, Plaur, Slamf1, Ucn
WT/FF	up	GO:0010557	positive regulation of macromolecule biosynthetic process	8	Adm2, Ankrd1, Cited2, Il6, Satb2, Serpine1, Slamf1, Ucn
WT/FF	up	GO:0010604	positive regulation of macromolecule metabolic process	8	Adm2, Ankrd1, Cited2, Il6, Satb2, Serpine1, Slamf1, Ucn
WT/FF	up	GO:0044419	biological process involved in interspecies interaction between organisms	8	Ankrd1, Bpifc, Cd207, Il6, Krt6a, Serpine1, Slamf1, Vgf
