contrast_id	gene_set_used	source	native	name	p_value	term_size	query_size	intersection_size	effective_domain_size	parents
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0009892	negative regulation of metabolic process	2.4838209174202737e-05	3204	657	132	25907	['GO:0008152', 'GO:0019222', 'GO:0048523']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0060284	regulation of cell development	3.221837193255729e-05	921	657	54	25907	['GO:0045595', 'GO:0048468']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0006355	regulation of DNA-templated transcription	3.293730916213829e-05	3283	657	134	25907	['GO:0006351', 'GO:0010468', 'GO:2001141']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0000902	cell morphogenesis	3.397817585867791e-05	1053	657	59	25907	['GO:0009653']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:1903530	regulation of secretion by cell	3.58361239140691e-05	650	657	43	25907	['GO:0032940', 'GO:0050794', 'GO:0051046']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0001819	positive regulation of cytokine production	4.346004664358108e-05	469	657	35	25907	['GO:0001816', 'GO:0001817', 'GO:0010628', 'GO:0051240']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0051960	regulation of nervous system development	4.3685217689736794e-05	560	657	39	25907	['GO:0007399', 'GO:2000026']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:1901699	cellular response to nitrogen compound	4.578714756803456e-05	704	657	45	25907	['GO:0070887', 'GO:1901698']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0031344	regulation of cell projection organization	4.728520919246154e-05	754	657	47	25907	['GO:0030030', 'GO:0051128']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0051668	localization within membrane	6.755014470270394e-05	738	657	46	25907	['GO:0051641']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0120035	regulation of plasma membrane bounded cell projection organization	7.034338839634708e-05	739	657	46	25907	['GO:0031344', 'GO:0120036']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:2001233	regulation of apoptotic signaling pathway	7.789523056830432e-05	392	657	31	25907	['GO:0009966', 'GO:0042981', 'GO:0097190']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0000165	MAPK cascade	8.195638878667293e-05	718	657	45	25907	['GO:0141124']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0031347	regulation of defense response	8.274068675111863e-05	768	657	47	25907	['GO:0006952', 'GO:0080134']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0014812	muscle cell migration	8.508842271672726e-05	129	657	17	25907	['GO:0016477']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0014909	smooth muscle cell migration	8.745072921843348e-05	114	657	16	25907	['GO:0014812']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0051130	positive regulation of cellular component organization	8.950342713453437e-05	1218	657	64	25907	['GO:0016043', 'GO:0048522', 'GO:0051128']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0007010	cytoskeleton organization	9.343181961226157e-05	1471	657	73	25907	['GO:0006996']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0006351	DNA-templated transcription	9.546696308982467e-05	3406	657	136	25907	['GO:0010467', 'GO:0032774']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0051093	negative regulation of developmental process	0.00011093944747694943	1062	657	58	25907	['GO:0032502', 'GO:0048519', 'GO:0050793']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0009611	response to wounding	0.00012260954479780702	535	657	37	25907	['GO:0006950']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0014910	regulation of smooth muscle cell migration	0.00012421852511713762	102	657	15	25907	['GO:0014909', 'GO:0030334']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0048638	regulation of developmental growth	0.00012993927158974923	358	657	29	25907	['GO:0040008', 'GO:0048589', 'GO:0050793']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0009725	response to hormone	0.0001416902913309344	1016	657	56	25907	['GO:0009719', 'GO:0042221']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0010605	negative regulation of macromolecule metabolic process	0.0001560562874914296	2982	657	122	25907	['GO:0009892', 'GO:0043170', 'GO:0060255']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0008285	negative regulation of cell population proliferation	0.0001602325611989211	685	657	43	25907	['GO:0008283', 'GO:0042127', 'GO:0048523']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:1901701	cellular response to oxygen-containing compound	0.00016655921872587732	1407	657	70	25907	['GO:0070887', 'GO:1901700']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0023061	signal release	0.00019216757926590302	592	657	39	25907	['GO:0007267', 'GO:0032940']
ipsi_vs_contra_in_ff	bend-point selected genes	GO:BP	GO:0072659	protein localization to plasma membrane	0.00019313302750957278	302	657	26	25907	['GO:0072657', 'GO:1990778']
ipsi_vs_contra_in_ff	bend-point selected genes	REAC	REAC:R-MMU-162582	Signal Transduction	0.0002037291215949292	2073	333	121	8469	['REAC:0000000']
